state,year,graduation,enrollment,american_indian_total,american_indian_male,american_indian_female,asian_total,asian_male,asian_female,hispanic_total,hispanic_male,hispanic_female,black_total,black_male,black_female,white_total,white_male,white_female
Alabama,1993,38680,41167,446,,Female,249,,,127,,,13175,,,27167,,
Alabama,1994,36007,39900,420,,,296,,,143,,,13148,,,25893,,
Alabama,1995,34447,41730,492,,,307,,,148,,,13425,,,27358,,
Alabama,1996,36268,40981,511,,,328,,,155,,,13295,,,26692,,
Alabama,1997,35043,42510,453,,,319,,,187,,,14061,,,26487,,
Alabama,1998,35611,44272,588,,,351,,,211,,,15036,,,28079,,
Alabama,1999,38089,43957,539,260,279,380,175,205,240,127,113,15062,6973,8089,27723,13858,13865
Alabama,2000,36244,42576,517,260,257,406,212,194,254,123,131,14773,6766,8007,26615,13281,13334
Alabama,2001,37819,42512,464,214,250,396,173,223,268,140,128,14614,6857,7757,26756,13328,13428
Alabama,2002,37082,42909,483,239,244,397,190,207,322,154,168,15080,6986,8094,26627,13316,13311
Alabama,2003,35887,45521,451,216,235,433,200,233,395,185,210,14590,6770,7820,26652,13288,13364
Alabama,2004,36741,42005,368,193,175,414,195,219,418,205,213,14131,6604,7527,26640,13513,13127
Alabama,2005,36464,42672,426,217,209,459,239,220,508,277,231,14353,6768,7585,26926,13631,13295
Alabama,2006,37918,43452,398,186,212,444,217,227,652,317,335,14738,6884,7854,27182,13566,13616
Alabama,2007,38912,44471,374,200,174,463,233,230,722,366,356,15348,7068,8280,27521,13809,13712
Alabama,2008,41346,46200,462,218,244,516,266,250,824,389,435,15868,7477,8391,28477,14239,14238
Alabama,2009,42082,46763,483,235,248,538,264,274,952,484,468,16311,7618,8693,28427,14222,14205
Alaska,1993,5535,6714,1323,,,324,,,159,,,287,,,4621,,
Alaska,1994,5535,6975,1394,,,347,,,192,,,336,,,4706,,
Alaska,1995,5747,7057,1416,,,323,,,188,,,328,,,4802,,
Alaska,1996,5765,7111,1356,,,369,,,205,,,307,,,4874,,
Alaska,1997,5945,7370,1499,,,394,,,199,,,363,,,4915,,
