term,discipline,grade,rit
FA,Reading,0,142.5
FA,Reading,1,160.3
FA,Reading,2,175.9
FA,Reading,3,189.9
FA,Reading,4,199.8
FA,Reading,5,207.1
FA,Reading,6,212.3
FA,Reading,7,216.3
FA,Reading,8,219.3
FA,Reading,9,221.4
FA,Mathematics,0,143.7
FA,Mathematics,1,162.8
FA,Mathematics,2,178.2
FA,Mathematics,3,192.1
FA,Mathematics,4,203.8
FA,Mathematics,5,212.9
FA,Mathematics,6,219.6
FA,Mathematics,7,225.6
FA,Mathematics,8,230.2
FA,Mathematics,9,233.8
WI,Reading,0,151
WI,Reading,1,170.7
WI,Reading,2,183.6
WI,Reading,3,194.6
WI,Reading,4,203.2
WI,Reading,5,209.8
WI,Reading,6,214.3
WI,Reading,7,218.2
WI,Reading,8,221.2
WI,Reading,9,221.9
WI,Mathematics,0,150.7
WI,Mathematics,1,172.4
WI,Mathematics,2,185.5
WI,Mathematics,3,198.5
WI,Mathematics,4,208.7
WI,Mathematics,5,217.8
WI,Mathematics,6,222.8
WI,Mathematics,7,228.2
WI,Mathematics,8,232.8
WI,Mathematics,9,234.9
SP,Reading,0,157.7
SP,Reading,1,176.9
SP,Reading,2,189.6
SP,Reading,3,199.2
SP,Reading,4,206.7
SP,Reading,5,212.3
SP,Reading,6,216.4
SP,Reading,7,219.7
SP,Reading,8,222.4
SP,Reading,9,222.9
SP,Mathematics,0,159.1
SP,Mathematics,1,179
SP,Mathematics,2,191.3
SP,Mathematics,3,203.1
SP,Mathematics,4,212.5
SP,Mathematics,5,221
SP,Mathematics,6,225.6
SP,Mathematics,7,230.5
SP,Mathematics,8,234.5
SP,Mathematics,9,236
